0;81
60;86
120;88
180;84
240;74
300;80
360;91
420;90
480;75
540;84
600;78
660;73
720;69
780;82
840;76
900;71
960;83
1020;81
1080;81
1140;75
1200;72
1260;72
1320;70
1380;74
1440;84
1500;71
1560;84
1620;79
1680;77
1740;79
1800;81
1860;76
1920;72
1980;77
2040;70
2100;72
2160;73
2220;82
2280;78
2340;84
2400;83
2460;77
2520;78
2580;84
2640;74
2700;77
2760;80
2820;74
2880;77
2940;71
3000;72
3060;73
3120;68
3180;78
3240;69
3300;72
3360;70
3420;74
3480;72
3540;76
3600;78
3660;71
3720;73
3780;70
3840;76
3900;69
3960;78
4020;81
4080;77
4140;74
4200;73
4260;77
4320;73
4380;80
4440;77
4500;76
4560;70
4620;69
4680;69
4740;79
4800;80
4860;70
4920;69
4980;81
5040;72
5100;77
5160;74
5220;72
5280;79
5340;73
5400;76
5460;71
5520;77
5580;84
5640;74
5700;78
5760;75
5820;74
5880;82
5940;74
6000;84
6060;77
6120;79
6180;74
6240;81
6300;74
6360;73
6420;76
6480;80
6540;81
6600;70
6660;69
6720;72
6780;78
6840;80
6900;84
6960;83
7020;76
7080;69
7140;83
7200;74
7260;84
7320;70
7380;74
7440;77
7500;73
7560;84
7620;70
7680;69
7740;70
7800;69
7860;72
7920;72
7980;79
8040;77
8100;81
8160;73
8220;81
8280;73
8340;78
8400;68
8460;80
8520;76
8580;73
8640;77
8700;75
8760;76
8820;79
8880;68
8940;76
9000;68
9060;80
9120;73
9180;68
9240;74
9300;73
9360;80
9420;78
9480;78
9540;71
9600;78
9660;73
9720;81
9780;70
9840;84
9900;72
9960;78
10020;76
10080;78
10140;75
10200;76
10260;76
10320;83
10380;78
10440;81
10500;73
10560;72
10620;71
10680;78
10740;81
10800;82
10860;84
10920;83
10980;73
11040;78
11100;79
11160;70
11220;81
11280;84
11340;81
11400;83
11460;70
11520;78
11580;72
11640;71
11700;69
11760;72
11820;71
11880;76
11940;74
12000;78
12060;76
12120;82
12180;74
12240;77
12300;72
12360;73
12420;78
12480;73
12540;81
12600;73
12660;78
12720;71
12780;79
12840;70
12900;77
12960;75
13020;73
13080;71
13140;73
13200;80
13260;75
13320;78
13380;70
13440;69
13500;80
13560;80
13620;78
13680;71
13740;69
13800;68
13860;71
13920;76
13980;80
14040;73
14100;77
14160;78
14220;82
14280;78
14340;78
14400;79
14460;79
14520;82
14580;80
14640;73
14700;81
14760;74
14820;84
14880;70
14940;83
15000;79
15060;83
15120;80
15180;84
15240;76
15300;80
15360;81
15420;75
15480;73
15540;80
15600;78
15660;84
15720;79
15780;70
15840;72
15900;75
15960;73
16020;77
16080;76
16140;69
16200;79
16260;80
16320;79
16380;78
16440;77
16500;82
16560;84
16620;70
16680;81
16740;79
16800;79
16860;68
16920;78
16980;76
17040;72
17100;81
17160;69
17220;75
17280;81
17340;78
17400;77
17460;76
17520;71
17580;73
17640;76
17700;68
17760;81
17820;79
17880;80
17940;81
18000;76
18060;81
18120;68
18180;69
18240;73
18300;70
18360;72
18420;71
18480;77
18540;72
18600;79
18660;76
18720;71
18780;71
18840;73
18900;77
18960;74
19020;84
19080;83
19140;77
19200;84
19260;83
19320;70
19380;81
19440;83
19500;82
19560;82
19620;75
19680;78
19740;84
19800;84
19860;70
19920;72
19980;73
20040;72
20100;81
20160;75
20220;75
20280;83
20340;84
20400;73
20460;77
20520;75
20580;75
20640;77
20700;83
20760;71
20820;84
20880;73
20940;81
21000;82
21060;77
21120;75
21180;73
21240;75
21300;82
21360;71
21420;84
21480;78
21540;69
21600;79
21660;69
21720;74
21780;75
21840;74
21900;74
21960;79
22020;74
22080;72
22140;71
22200;77
22260;80
22320;71
22380;74
22440;81
22500;71
22560;70
22620;69
22680;73
22740;79
22800;75
22860;74
22920;81
22980;72
23040;71
23100;74
23160;83
23220;82
23280;74
23340;81
23400;78
23460;78
23520;75
23580;84
23640;82
23700;74
23760;75
23820;71
23880;80
23940;77
24000;84
24060;77
24120;82
24180;73
24240;75
24300;80
24360;79
24420;73
24480;81
24540;82
24600;81
24660;81
24720;73
24780;72
24840;74
24900;83
24960;77
25020;78
25080;83
25140;80
25200;70
25260;76
25320;84
25380;71
25440;71
25500;77
25560;72
25620;73
25680;75
25740;76
25800;71
25860;73
25920;83
25980;70
26040;84
26100;73
26160;74
26220;86
26280;75
26340;71
26400;82
26460;81
26520;74
26580;86
26640;72
26700;74
26760;86
26820;76
26880;83
26940;81
27000;73
27060;93
27120;86
27180;84
27240;83
27300;95
27360;96
27420;83
27480;86
