22:0, 76
22:1, 70
22:2, 74
22:3, 71
22:4, 70
22:5, 56
22:6, 60
22:7, 63
22:8, 56
22:9, 62
22:10, 58
22:11, 63
22:12, 56
22:13, 63
22:14, 47
22:15, 48
22:16, 44
22:17, 47
22:18, 47
22:19, 45
22:20, 44
22:21, 44
22:22, 48
22:23, 48
22:24, 45
22:25, 46
22:26, 48
22:27, 44
22:28, 46
22:29, 46
22:30, 44
22:31, 47
22:32, 44
22:33, 48
22:34, 45
22:35, 47
22:36, 45
22:37, 48
22:38, 46
22:39, 44
22:40, 45
22:41, 45
22:42, 45
22:43, 47
22:44, 44
22:45, 47
22:46, 44
22:47, 47
22:48, 47
22:49, 46
22:50, 45
22:51, 48
22:52, 48
22:53, 46
22:54, 45
22:55, 48
22:56, 44
22:57, 45
22:58, 48
22:59, 48
23:0, 45
23:1, 44
23:2, 48
23:3, 44
23:4, 46
23:5, 47
23:6, 47
23:7, 48
23:8, 46
23:9, 47
23:10, 45
23:11, 47
23:12, 44
23:13, 46
23:14, 45
23:15, 47
23:16, 45
23:17, 45
23:18, 48
23:19, 48
23:20, 45
23:21, 46
23:22, 48
23:23, 48
23:24, 46
23:25, 46
23:26, 45
23:27, 46
23:28, 44
23:29, 44
23:30, 46
23:31, 45
23:32, 48
23:33, 45
23:34, 48
23:35, 58
23:36, 54
23:37, 56
23:38, 51
23:39, 52
23:40, 49
23:41, 48
23:42, 44
23:43, 47
23:44, 46
23:45, 46
23:46, 44
23:47, 46
23:48, 44
23:49, 48
23:50, 46
23:51, 44
23:52, 45
23:53, 48
23:54, 47
23:55, 46
23:56, 48
23:57, 47
23:58, 45
23:59, 44
0:0, 46
0:1, 45
0:2, 48
0:3, 46
0:4, 46
0:5, 47
0:6, 46
0:7, 45
0:8, 45
0:9, 48
0:10, 47
0:11, 46
0:12, 44
0:13, 48
0:14, 47
0:15, 44
0:16, 45
0:17, 48
0:18, 45
0:19, 44
0:20, 45
0:21, 47
0:22, 47
0:23, 46
0:24, 47
0:25, 47
0:26, 48
0:27, 47
0:28, 48
0:29, 44
0:30, 47
0:31, 48
0:32, 45
0:33, 48
0:34, 47
0:35, 46
0:36, 46
0:37, 46
0:38, 48
0:39, 45
0:40, 48
0:41, 48
0:42, 45
0:43, 45
0:44, 48
0:45, 47
0:46, 48
0:47, 47
0:48, 54
0:49, 50
0:50, 56
0:51, 55
0:52, 56
0:53, 58
0:54, 56
0:55, 52
0:56, 51
0:57, 55
0:58, 56
0:59, 55
1:0, 54
1:1, 54
1:2, 51
1:3, 51
1:4, 57
1:5, 52
1:6, 58
1:7, 54
1:8, 48
1:9, 47
1:10, 47
1:11, 48
1:12, 44
1:13, 46
1:14, 46
1:15, 47
1:16, 47
1:17, 47
1:18, 46
1:19, 45
1:20, 47
1:21, 44
1:22, 48
1:23, 45
1:24, 47
1:25, 47
1:26, 44
1:27, 48
1:28, 44
1:29, 44
1:30, 44
1:31, 45
1:32, 47
1:33, 46
1:34, 46
1:35, 46
1:36, 46
1:37, 46
1:38, 45
1:39, 48
1:40, 48
1:41, 45
1:42, 46
1:43, 44
1:44, 44
1:45, 44
1:46, 46
1:47, 45
1:48, 44
1:49, 46
1:50, 47
1:51, 46
1:52, 48
1:53, 48
1:54, 45
1:55, 47
1:56, 46
1:57, 45
1:58, 45
1:59, 44
2:0, 48
2:1, 44
2:2, 47
2:3, 48
2:4, 45
2:5, 45
2:6, 47
2:7, 48
2:8, 48
2:9, 44
2:10, 44
2:11, 55
2:12, 58
2:13, 51
2:14, 55
2:15, 51
2:16, 55
2:17, 53
2:18, 52
2:19, 52
2:20, 50
2:21, 57
2:22, 57
2:23, 57
2:24, 56
2:25, 55
2:26, 53
2:27, 49
2:28, 54
2:29, 49
2:30, 55
2:31, 51
2:32, 51
2:33, 53
2:34, 55
2:35, 58
2:36, 47
2:37, 48
2:38, 44
2:39, 45
2:40, 45
2:41, 48
2:42, 44
2:43, 46
2:44, 46
2:45, 47
2:46, 48
2:47, 44
2:48, 46
2:49, 44
2:50, 48
2:51, 47
2:52, 46
2:53, 44
2:54, 46
2:55, 46
2:56, 47
2:57, 44
2:58, 48
2:59, 46
3:0, 44
3:1, 46
3:2, 46
3:3, 45
3:4, 48
3:5, 45
3:6, 45
3:7, 44
3:8, 47
3:9, 45
3:10, 48
3:11, 45
3:12, 48
3:13, 47
3:14, 45
3:15, 45
3:16, 47
3:17, 48
